,Survived,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,s_male,p_2,p_3
623,0,57.0,0,0,12.35,1,1,0
624,1,21.0,0,0,77.9583,0,0,0
625,0,26.0,0,0,7.8958,1,0,1
626,0,18.0,0,0,7.7333,1,0,1
627,1,80.0,0,0,30.0,1,0,0
628,0,51.0,0,0,7.0542,1,0,1
629,1,32.0,0,0,30.5,1,0,0
630,0,30.0,0,0,0.0,1,0,0
631,0,9.0,3,2,27.9,0,0,1
632,1,28.0,0,0,13.0,0,1,0
633,0,32.0,0,0,7.925,1,0,1
634,0,31.0,1,1,26.25,1,1,0
635,0,41.0,0,5,39.6875,0,0,1
636,0,37.0,1,0,16.1,1,0,1
637,0,20.0,0,0,7.8542,1,0,1
638,1,24.0,0,0,69.3,0,0,0
639,0,2.0,3,2,27.9,0,0,1
640,1,32.0,0,0,56.4958,1,0,1
641,1,0.75,2,1,19.2583,0,0,1
642,1,48.0,1,0,76.7292,1,0,0
643,0,19.0,0,0,7.8958,1,0,1
644,1,56.0,0,0,35.5,1,0,0
645,0,21.0,0,0,7.55,1,0,1
646,1,23.0,0,0,7.55,0,0,1
647,0,23.0,0,0,7.8958,1,0,1
648,1,18.0,0,1,23.0,0,1,0
649,0,21.0,0,0,8.4333,1,0,1
650,1,16.0,0,0,7.8292,0,0,1
651,0,18.0,0,0,6.75,0,0,1
652,0,24.0,2,0,73.5,1,1,0
653,0,27.0,0,0,7.8958,1,0,1
654,0,32.0,1,1,15.5,0,0,1
655,0,23.0,0,0,13.0,1,1,0
656,0,58.0,0,2,113.275,1,0,0
657,1,50.0,2,0,133.65,1,0,0
658,0,40.0,0,0,7.225,1,0,1
659,0,47.0,0,0,25.5875,1,0,0
660,0,36.0,0,0,7.4958,1,0,1
661,1,20.0,1,0,7.925,1,0,1
662,0,32.0,2,0,73.5,1,1,0
663,0,25.0,0,0,13.0,1,1,0
664,0,49.0,0,0,7.775,1,0,1
665,0,43.0,0,0,8.05,1,0,1
666,1,48.0,1,0,52.0,0,0,0
667,1,40.0,1,1,39.0,0,1,0
668,0,31.0,1,0,52.0,1,0,0
669,0,70.0,0,0,10.5,1,1,0
670,1,31.0,0,0,13.0,1,1,0
671,0,19.0,0,0,0.0,1,1,0
672,0,18.0,0,0,7.775,1,0,1
673,0,24.5,0,0,8.05,1,0,1
674,1,18.0,0,0,9.8417,0,0,1
675,0,43.0,1,6,46.9,0,0,1
676,1,36.0,0,1,512.3292,1,0,0
677,0,28.0,0,0,8.1375,0,0,1
678,1,27.0,0,0,76.7292,1,0,0
679,0,20.0,0,0,9.225,1,0,1
680,0,14.0,5,2,46.9,1,0,1
681,0,60.0,1,1,39.0,1,1,0
682,0,25.0,1,2,41.5792,1,1,0
683,0,14.0,4,1,39.6875,1,0,1
684,0,19.0,0,0,10.1708,1,0,1
685,0,18.0,0,0,7.7958,1,0,1
686,1,15.0,0,1,211.3375,0,0,0
687,1,31.0,1,0,57.0,1,0,0
688,1,4.0,0,1,13.4167,0,0,1
689,1,37.0,0,0,56.4958,1,0,1
690,0,25.0,0,0,7.225,1,0,1
691,0,60.0,0,0,26.55,1,0,0
692,0,52.0,0,0,13.5,1,1,0
693,0,44.0,0,0,8.05,1,0,1
694,1,19.0,0,0,7.7333,0,0,1
695,0,49.0,1,1,110.8833,1,0,0
696,0,42.0,0,0,7.65,1,0,1
697,1,18.0,1,0,227.525,0,0,0
698,1,35.0,0,0,26.2875,1,0,0
699,0,18.0,0,1,14.4542,0,0,1
700,0,25.0,0,0,7.7417,1,0,1
701,0,26.0,1,0,7.8542,1,0,1
702,0,39.0,0,0,26.0,1,1,0
703,1,45.0,0,0,13.5,0,1,0
704,1,42.0,0,0,26.2875,1,0,0
705,1,22.0,0,0,151.55,0,0,0
706,1,4.0,1,1,15.2458,1,0,1
707,1,24.0,0,0,49.5042,0,0,0
708,0,41.0,0,0,26.55,1,0,0
709,1,48.0,1,0,52.0,1,0,0
710,0,29.0,0,0,9.4833,1,0,1
711,0,52.0,0,0,13.0,1,1,0
712,0,19.0,0,0,7.65,1,0,1
713,1,38.0,0,0,227.525,0,0,0
714,1,27.0,0,0,10.5,0,1,0
715,0,33.0,0,0,7.775,1,0,1
716,1,6.0,0,1,33.0,0,1,0
717,0,17.0,1,0,7.0542,1,0,1
718,0,34.0,0,0,13.0,1,1,0
719,0,50.0,0,0,13.0,1,1,0
720,1,27.0,1,0,53.1,1,0,0
721,0,20.0,0,0,8.6625,1,0,1
722,1,30.0,3,0,21.0,0,1,0
723,1,28.0,0,0,7.7375,0,0,1
724,0,25.0,1,0,26.0,1,1,0
725,0,25.0,1,0,7.925,0,0,1
726,1,29.0,0,0,211.3375,0,0,0
727,0,11.0,0,0,18.7875,1,0,1
728,0,41.0,0,0,0.0,1,1,0
729,0,23.0,0,0,13.0,1,1,0
730,0,23.0,0,0,13.0,1,1,0
731,0,28.5,0,0,16.1,1,0,1
732,0,48.0,1,3,34.375,0,0,1
733,1,35.0,0,0,512.3292,1,0,0
734,0,20.0,0,0,7.8958,1,0,1
735,0,32.0,0,0,7.8958,1,0,1
736,1,45.0,0,0,30.0,1,0,0
737,0,36.0,1,0,78.85,1,0,0
738,1,21.0,2,2,262.375,0,0,0
739,0,24.0,1,0,16.1,1,0,1
740,1,31.0,0,0,7.925,1,0,1
741,0,70.0,1,1,71.0,1,0,0
742,0,16.0,1,1,20.25,1,0,1
743,1,30.0,0,0,13.0,0,1,0
744,0,19.0,1,0,53.1,1,0,0
745,0,31.0,0,0,7.75,1,0,1
746,1,4.0,1,1,23.0,0,1,0
747,1,6.0,0,1,12.475,1,0,1
748,0,33.0,0,0,9.5,1,0,1
749,0,23.0,0,0,7.8958,1,0,1
750,1,48.0,1,2,65.0,0,1,0
751,1,0.67,1,1,14.5,1,1,0
752,0,28.0,0,0,7.7958,1,0,1
753,0,18.0,0,0,11.5,1,1,0
754,0,34.0,0,0,8.05,1,0,1
755,1,33.0,0,0,86.5,0,0,0
756,0,23.0,0,0,14.5,1,0,1
757,0,41.0,0,0,7.125,1,0,1
758,1,20.0,0,0,7.2292,1,0,1
759,1,36.0,1,2,120.0,0,0,0
760,0,16.0,0,0,7.775,1,0,1
761,1,51.0,1,0,77.9583,0,0,0
762,0,46.0,0,0,39.6,1,0,0
763,0,30.5,0,0,7.75,0,0,1
764,0,28.0,1,0,24.15,1,0,1
765,0,32.0,0,0,8.3625,1,0,1
766,0,24.0,0,0,9.5,1,0,1
767,0,48.0,0,0,7.8542,1,0,1
768,0,57.0,0,0,10.5,0,1,0
769,0,29.0,0,0,7.225,1,0,1
770,1,54.0,1,3,23.0,0,1,0
771,0,18.0,0,0,7.75,1,0,1
772,0,20.0,0,0,7.75,1,0,1
773,1,5.0,0,0,12.475,0,0,1
774,0,22.0,0,0,7.7375,1,0,1
775,1,43.0,0,1,211.3375,0,0,0
776,1,13.0,0,0,7.2292,0,0,1
777,1,17.0,1,0,57.0,0,0,0
778,0,29.0,0,0,30.0,1,0,0
779,0,35.0,1,2,23.45,1,0,1
780,0,25.0,0,0,7.05,1,0,1
781,0,25.0,0,0,7.25,1,0,1
782,1,18.0,0,0,7.4958,0,0,1
783,0,8.0,4,1,29.125,1,0,1
784,1,1.0,1,2,20.575,1,0,1
785,0,46.0,0,0,79.2,1,0,0
786,0,20.0,0,0,7.75,1,0,1
787,0,16.0,0,0,26.0,1,1,0
788,0,21.0,8,2,69.55,0,0,1
789,0,43.0,0,0,30.6958,1,0,0
790,0,25.0,0,0,7.8958,1,0,1
791,0,39.0,0,0,13.0,1,1,0
792,1,49.0,0,0,25.9292,0,0,0
793,1,31.0,0,0,8.6833,0,0,1
794,0,30.0,0,0,7.2292,1,0,1
795,0,30.0,1,1,24.15,0,0,1
796,0,34.0,0,0,13.0,1,1,0
797,1,31.0,1,1,26.25,0,1,0
798,1,11.0,1,2,120.0,1,0,0
799,1,0.42,0,1,8.5167,1,0,1
800,1,27.0,0,0,6.975,1,0,1
801,0,31.0,0,0,7.775,1,0,1
802,0,39.0,0,0,0.0,1,0,0
803,0,18.0,0,0,7.775,0,0,1
804,0,39.0,0,0,13.0,1,1,0
805,1,33.0,1,0,53.1,0,0,0
806,0,26.0,0,0,7.8875,1,0,1
807,0,39.0,0,0,24.15,1,0,1
808,0,35.0,0,0,10.5,1,1,0
809,0,6.0,4,2,31.275,0,0,1
810,0,30.5,0,0,8.05,1,0,1
811,0,39.0,0,0,0.0,1,0,0
812,0,23.0,0,0,7.925,0,0,1
813,0,31.0,1,1,37.0042,1,1,0
814,0,43.0,0,0,6.45,1,0,1
815,0,10.0,3,2,27.9,1,0,1
816,1,52.0,1,1,93.5,0,0,0
817,1,27.0,0,0,8.6625,1,0,1
818,0,38.0,0,0,0.0,1,0,0
819,1,27.0,0,1,12.475,0,0,1
820,0,2.0,4,1,39.6875,1,0,1
821,0,36.0,0,0,6.95,1,0,1
822,0,23.0,0,0,56.4958,1,0,1
823,1,1.0,0,2,37.0042,1,1,0
824,1,19.0,0,0,7.75,1,0,1
825,1,62.0,0,0,80.0,0,0,0
826,1,15.0,1,0,14.4542,0,0,1
827,1,0.83,1,1,18.75,1,1,0
828,0,30.0,0,0,7.2292,1,0,1
829,0,23.0,0,0,7.8542,1,0,1
830,0,18.0,0,0,8.3,1,0,1
831,1,39.0,1,1,83.1583,0,0,0
832,0,21.0,0,0,8.6625,1,0,1
833,0,20.0,0,0,8.05,1,0,1
834,1,32.0,0,0,56.4958,1,0,1
835,1,29.0,0,0,29.7,1,0,0
836,0,20.0,0,0,7.925,1,0,1
837,0,16.0,0,0,10.5,1,1,0
838,1,30.0,0,0,31.0,0,0,0
839,0,34.5,0,0,6.4375,1,0,1
840,0,17.0,0,0,8.6625,1,0,1
841,0,42.0,0,0,7.55,1,0,1
842,0,18.0,8,2,69.55,1,0,1
843,0,35.0,0,0,7.8958,1,0,1
844,0,28.0,0,1,33.0,1,1,0
845,1,40.0,1,0,89.1042,0,0,0
846,0,4.0,4,2,31.275,1,0,1
847,0,74.0,0,0,7.775,1,0,1
848,0,9.0,1,1,15.2458,0,0,1
849,1,16.0,0,1,39.4,0,0,0
850,0,44.0,1,0,26.0,0,1,0
851,1,18.0,0,1,9.35,0,0,1
852,1,45.0,1,1,164.8667,0,0,0
853,1,51.0,0,0,26.55,1,0,0
854,1,24.0,0,3,19.2583,0,0,1
855,0,30.0,0,0,7.2292,1,0,1
856,0,41.0,2,0,14.1083,1,0,1
857,0,21.0,1,0,11.5,1,1,0
858,1,48.0,0,0,25.9292,0,0,0
859,0,14.0,8,2,69.55,0,0,1
860,0,24.0,0,0,13.0,1,1,0
861,1,42.0,0,0,13.0,0,1,0
862,1,27.0,1,0,13.8583,0,1,0
863,0,31.0,0,0,50.4958,1,0,0
864,0,23.0,0,0,9.5,1,0,1
865,1,4.0,1,1,11.1333,1,0,1
866,0,26.0,0,0,7.8958,1,0,1
867,1,47.0,1,1,52.5542,0,0,0
868,0,33.0,0,0,5.0,1,0,0
869,0,47.0,0,0,9.0,1,0,1
870,1,28.0,1,0,24.0,0,1,0
871,1,15.0,0,0,7.225,0,0,1
872,0,20.0,0,0,9.8458,1,0,1
873,0,19.0,0,0,7.8958,1,0,1
874,0,23.0,0,0,7.8958,1,0,1
875,1,56.0,0,1,83.1583,0,0,0
876,1,25.0,0,1,26.0,0,1,0
877,0,33.0,0,0,7.8958,1,0,1
878,0,22.0,0,0,10.5167,0,0,1
879,0,28.0,0,0,10.5,1,1,0
880,0,25.0,0,0,7.05,1,0,1
881,0,39.0,0,5,29.125,0,0,1
882,0,27.0,0,0,13.0,1,1,0
883,1,19.0,0,0,30.0,0,0,0
884,0,7.0,1,2,23.45,0,0,1
885,1,26.0,0,0,30.0,1,0,0
886,0,32.0,0,0,7.75,1,0,1
